fold,valid_start,valid_end,gap_days,wape,mae,rmse,mape_nonzero,zero_ratio,n
1,2025-08-14,2025-09-10,6,0.32500903664013764,0.9022681182683961,1.1884711493871332,0.35813257406090115,0.15505226480836237,1148
2,2025-09-11,2025-10-08,6,0.3389135212067152,0.9004235537286422,1.1838902525616597,0.3723246899222236,0.1437282229965157,1148
3,2025-10-09,2025-11-05,6,0.3053951645808786,0.8438270575353196,1.0767361110190523,0.3425226341735336,0.13414634146341464,1148
4,2025-11-06,2025-12-03,6,0.3476541110224101,0.847634021560737,1.0967404960845981,0.3720983940794669,0.16463414634146342,1148
5,2025-12-04,2025-12-31,6,0.3208588552796653,0.855250955710606,1.101767593246783,0.3604557079702481,0.1332752613240418,1148
